Code,Name,Address,City,State,Zip,Elementary (K-5) Student Count,Middle (6-8) Student Count,High School (9-12) Student Count,ISD Code,ISD Name,District Code,District Name,Entity Type,Entity County,Chartering Agency Code,Chartering Agency Authorizer,Charter Management Organization,Entity Authorized Grades,Entity Actual Grades,elementary,middle,high,location
4,Henderson Academy,16101 West Chicago St,Detroit,MI,48228,488,238,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3642600000001, -83.2654899999999)"
5,"Holmes, A.L.  Elementary-Middle School",8950 Crane St,Detroit,MI,48213,329,108,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3948, -83.0144099999999)"
18,Medicine and Community Health Academy at Cody,18445 Cathedral St,Detroit,MI,48228,0,0,387,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.360748416, -83.221019843)"
22,Detroit Institute of Technology at Cody,18445 Cathedral St,Detroit,MI,48228,0,0,260,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3606603760001, -83.220862799)"
26,Cody Academy of Public Leadership,18445 Cathedral St,Detroit,MI,48228,0,0,248,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3607888670001, -83.221769374)"
29,Davis Aerospace High School,900 Dickerson St,Detroit,MI,48215,0,0,156,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3697100000001, -82.9512999999999)"
30,Osborn College Preparatory Academy,11600 East 7 Mile Rd,Detroit,MI,48205,0,0,158,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.4336300000001, -83.00357)"
32,Osborn Academy of Mathematics,11600 East 7 Mile Rd,Detroit,MI,48205,0,0,191,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.4336300000001, -83.00357)"
35,Osborn Evergreen Academy of Design and Alternative Energy,11600 East 7 Mile Rd,Detroit,MI,48205,0,0,322,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.4336300000001, -83.00357)"
39,Detroit International Academy for Young Women,9026 Woodward Ave,Detroit,MI,48202,90,72,199,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8,9,10,11,12","KG,1,2,3,4,5,6,7,8,9,10,11,12",1,1,1,"location
(42.38273, -83.08045)"
101,Henry Ford Academy: School for Creative Studies (PSAD),485 W Milwaukee St,Detroit,MI,48202,0,362,487,82,Wayne RESA,82703,Henry Ford Academy: School for Creative Studies (PSAD),PSA School,Wayne,5133,Grand Valley State University,"Creative Urban Education, Inc.","6,7,8,9,10,11,12","6,7,8,9,10,11,12",0,1,1,"location
(42.3678600000001, -83.0753999999999)"
103,Ann Arbor Trail Magnet School,7635 Chatham,Detroit,MI,48239,184,98,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3467000000001, -83.2603)"
133,Lincoln-King Academy,13436 Grove St,Detroit,MI,48235,395,189,0,82,Wayne RESA,82719,Washington-Parks Academy,PSA School,Wayne,5133,Grand Valley State University,Cornerstone Charter Schools,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.41432, -83.1778399999999)"
168,Bagley Elementary School,8100 Curtis St,Detroit,MI,48221,286,39,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6","KG,1,2,3,4,5,6",1,1,0,"location
(42.42479, -83.15219)"
173,Cesar Chavez Academy Intermediate,4100 Martin St,Detroit,MI,48210,437,0,0,82,Wayne RESA,82918,Cesar Chavez Academy,PSA School,Wayne,4884,Saginaw Valley State University,Leona Group,"3,4,5","3,4,5",1,0,0,"location
(42.32906, -83.12521)"
176,Golightly Education Center,5536 Saint Antoine St,Detroit,MI,48202,273,90,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG-Part,1,2,3,4,5,6,7,8","KG-Part,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3648900000001, -83.05897)"
238,"Clemente, Roberto Academy",1551 Beard St,Detroit,MI,48209,658,0,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5","KG,1,2,3,4,5",1,0,0,"location
(42.3093900000001, -83.11614)"
277,Bennett Elementary School,2111 Mullane St,Detroit,MI,48209,497,0,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5","KG,1,2,3,4,5",1,0,0,"location
(42.30922, -83.12963)"
334,Detroit Leadership Academy Elementary,13550 Virgil,Detroit,MI,48223,300,0,0,82,Wayne RESA,82722,Detroit Leadership Academy,PSA School,Wayne,5017,Central Michigan University,Equity Education,"KG,1,2,3,4,5","KG,1,2,3,4,5",1,0,0,"location
(42.38442, -83.27064)"
367,Legacy Charter Academy,4900 E. Hildale Street,Detroit,MI,48234,518,239,0,82,Wayne RESA,82723,Legacy Charter Academy,PSA School,Wayne,5133,Grand Valley State University,National Heritage Academies,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.4291000000001, -83.05441)"
378,University Yes Academy,14717 Curtis Street,Detroit,MI,48235,337,272,0,82,Wayne RESA,82724,University Yes Academy,PSA School,Wayne,7838,Bay Mills Community College,New Paradigm For Education,"KG,1,2,3,4,5,6,7,8,9,10,11,12","KG,1,2,3,4,5,6,7,8,9,10,11,12",1,1,0,"location
(42.4226200000001, -83.1917)"
446,Bunche Elementary-Middle School,2715 Macomb Street,Detroit,MI,48207,351,166,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3443, -83.0237999999999)"
456,Burns Elementary-Middle School,14350 Terry St,Detroit,MI,48227,259,107,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"DevK,KG,1,2,3,4,5,6,7,8","DevK,KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3936, -83.19107)"
468,Burton International School,2001 Martin Luther King Jr. Blvd,Detroit,MI,48208,403,177,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3394200000001, -83.07837)"
506,University Preparatory Science and Math (PSAD) High School,2664 Franklin Street,Detroit,MI,48207,0,0,469,82,Wayne RESA,82701,University Preparatory Science and Math (PSAD),PSA School,Wayne,5133,Grand Valley State University,Detroit 90/90,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.33707, -83.02036)"
542,Carstens Elementary-Middle School,13000 Essex Avenue,Detroit,MI,48215,213,104,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.36409, -82.94834)"
546,Carver Elementary-Middle School,18701 Paul St,Detroit,MI,48228,218,83,0,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",1,1,0,"location
(42.3356600000001, -83.22338)"
554,Cass Technical High School,2501 2Nd Ave,Detroit,MI,48201,0,0,2447,82,Wayne RESA,82015,Detroit Public Schools Community District,LEA School,Wayne,,,,"9,10,11,12","9,10,11,12",0,0,1,"location
(42.3388400000001, -83.06038)"
