ZIPCODE,GEOID10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LIFE_EXP
48236,2648236,19463663,3357791,42.425373,-82.8931944,82
48213,2648213,16923386,0,42.3979308,-82.9952131,70
48216,2648216,5747286,0,42.3264844,-83.0787461,75
48221,2648221,14119737,2042,42.4269999,-83.1486085,74
48215,2648215,10395926,0,42.3750512,-82.9543435,70
48227,2648227,19504196,0,42.3872489,-83.1925916,71
48128,2648128,6123655,134025,42.3204109,-83.2599691,81
48195,2648195,17672628,12035,42.2049746,-83.2065107,78
48192,2648192,13720595,377603,42.208455,-83.1614983,75
48230,2648230,8360759,3001154,42.3823947,-82.9218416,81
48187,2648187,46813620,32123,42.3255729,-83.4835758,81
48225,2648225,6854875,0,42.4389841,-82.92961,77
48218,2648218,6872362,287672,42.2727086,-83.1266716,71
48205,2648205,16531627,0,42.4331562,-82.9811418,70
48214,2648214,13014076,1565598,42.3651159,-82.9876441,71
48146,2648146,15202542,1439,42.2432907,-83.1812577,74
48101,2648101,18182907,122205,42.2594735,-83.2103905,79
48193,2648193,18194681,658655,42.1732817,-83.2098369,79
48223,2648223,15679754,0,42.3934527,-83.2463272,72
48217,2648217,5921036,126346,42.277651,-83.1550783,71
48180,2648180,61116827,95634,42.225262,-83.2683085,75
48185,2648185,31512594,23686,42.3339011,-83.3842091,77
48208,2648208,8190764,0,42.3484911,-83.0919366,70
48207,2648207,16061703,521193,42.3496544,-83.01896,70
48174,2648174,106680136,588742,42.234298,-83.3943243,74
48188,2648188,46715127,44071,42.2836875,-83.4827194,80
48126,2648126,25386287,240192,42.3257905,-83.1832135,79
48228,2648228,22299441,0,42.3554551,-83.2170142,71
48219,2648219,21773613,5168,42.4253278,-83.2514284,73
48203,2648203,20756114,18585,42.4207361,-83.1043384,70
48138,2648138,23824274,3950375,42.1339782,-83.1539214,81
48134,2648134,46410603,1160454,42.1065592,-83.2961566,77
48111,2648111,174712960,5993611,42.1773124,-83.4884438,76
48211,2648211,10848548,0,42.3813468,-83.0457331,72
48120,2648120,8253572,149422,42.3063266,-83.1762109,80
48201,2648201,5193540,0,42.3470206,-83.0601841,69
48127,2648127,19924557,22246,42.3357932,-83.2832964,79
48204,2648204,12980500,0,42.3658122,-83.1429352,71
48173,2648173,30022088,5808529,42.0736789,-83.2127735,77
48141,2648141,16194528,1610,42.2940543,-83.3198665,72
48229,2648229,7303781,4867,42.2505594,-83.1428672,70
48184,2648184,18208616,3148,42.2744787,-83.3956231,74
48226,2648226,3197600,0,42.3315417,-83.050267,74
48164,2648164,76119149,380809,42.1245713,-83.3868655,77
48168,2648168,52837702,610512,42.4052615,-83.5404983,85
48170,2648170,88448610,539814,42.3676895,-83.5343063,81
48224,2648224,14852847,0,42.4106935,-82.9412646,71
48209,2648209,17501605,347455,42.3067234,-83.1168627,73
48212,2648212,13854094,26408,42.4097208,-83.0563945,74
48239,2648239,25193320,93427,42.3760459,-83.2831741,77
48206,2648206,8095663,0,42.3751234,-83.1078968,71
48135,2648135,15198077,0,42.3243842,-83.3412117,76
48150,2648150,31043463,406031,42.3716044,-83.3767879,79
48152,2648152,31368242,33600,42.4249348,-83.3742642,81
48238,2648238,13974835,0,42.396286,-83.1413516,71
48122,2648122,7055271,98887,42.2785368,-83.1825893,73
48234,2648234,20288109,0,42.4311975,-83.0395007,71
48210,2648210,13057914,0,42.3362117,-83.1283313,72
48202,2648202,8616314,0,42.3747864,-83.0777179,71
48235,2648235,16189821,0,42.4270581,-83.194803,73
48124,2648124,22934067,115622,42.2980362,-83.2476095,80
48183,2648183,48139682,2168611,42.131459,-83.2177918,79
48154,2648154,30085171,7419,42.3971831,-83.3723195,81
48240,2648240,9695508,0,42.42446,-83.3013004,76
48125,2648125,10489268,956,42.2773338,-83.2648321,75
